Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Ingredients,Desirability
Мармелад Шарлиз желейный глазированный 250г,3908962,шт,1.0,4.9,4467,,250 г,250.0,1.0,7.0,76.0,370.0,"Сахар, патока крахмальная, вода питьевая, глазурь кондитерская (сахар, заменитель масла какао, какао-порошок, эмульгатор: лецитин соевый, ароматизатор Ванилин), пюре яблочное, желирущий агент - пектин, регуляторы кислотности: кислота молочная, кислота лимонная, цитрат натрия, ароматизатор, краситель: кармины.",2
Кофе растворимый Migel Gold 70г,4257171,шт,1.0,4.92,10869,186.99,70 г,70.0,0.0,0.0,0.0,0.0,Кофе растворимый сублимированный,2
Рис Yelli Бириани 250г,3464764,шт,1.0,4.81,226,224.99,250 г,250.0,7.5,1.5,78.0,360.0,"рис басмати, овощи сушеные (морковь, лук репчатый, паприка, томаты, чеснок), специи молотые (кориандр, перец чили)",8
Чай черный Лисма Насыщенный индийский 25х1.8г,3469500,шт,1.0,4.91,7738,,25 шт,-1.0,0.0,0.0,0.0,0.0,чай черный байховый индийский,2
Жевательная резинка Love is ассорти 21г,4010683,шт,1.0,4.92,4965,52.99,21 г,21.0,0.0,0.0,77.0,291.0,"сахар, глюкозный сироп, резиновая основа, регуляторы кислотности: лимонная кислота, яблочная кислота (E330, E296), ароматизаторы (зеленое яблоко, апельсин, клубника, лимон, вишня, кокос, ананас, банан), эмульгатор лецитин подсолнечный, красители (E141i, E120, E160a), антиокислитель E321",1
Каша Mollis овсяная с молоком со вкусом абрикоса 40г,4166248,шт,1.0,4.92,5834,23.99,40 г,40.0,9.5,4.0,78.0,360.0,"Хлопья овсяные, сахар, абрикос сушеный, соль, ароматизатор Абрикос.",2
Вода Нарзан минеральная газированная 1л,3393145,шт,1.0,4.93,8710,78.99,1 л,1000.0,0.0,0.0,0.0,0.0,гидрокарбонаты НСО3: 1000 – 1700; сульфаты SO4: 250 – 500; хлориды Cl: 50 - 200 кальций Ca: 200 – 500; магний Mg: 50 – 150; натрий+калий Na++K+: 50 – 250. Общая минерализация г/л: 2.0-3.5,3
Напиток сокосодержащий Агуша Яблоко детский с 12 месяцев 300мл,3629440,шт,1.0,4.94,7182,62.99,300 мл,300.0,0.0,0.0,6.0,25.0,"яблочный сок, вода. Объемная доля сока не менее 50%",2
Кетчуп Heinz Picador супер-острый 300г,4295653,шт,1.0,4.91,4717,69.99,300 г,300.0,1.0,0.1,16.0,70.0,"вода, паста томатная, сахар, соль, регулятор кислотности кислота уксусная ледяная, загуститель камедь ксантановая, перец кайенский, перец халапеньо зеленый, консерванты (бензоат натрия, сорбат калия), ароматизатор натуральный. 

Продукт может содержать сельдерей",3
Чипсы картофельные Lay's Из печи Нежный сыр с зеленью 85г,3671743,шт,1.0,4.91,6315,126.99,85 г,85.0,5.0,16.0,70.0,445.0,"картофельные хлопья (картофель, эмульгатор (моно- и диглицериды жирных кислот), декстроза, стабилизатор (дигидропирофосфат натрия), регулятор кислотности (лимонная кислота)), кукурузный крахмал, масло рапсовое, сахар, мука пшеничная, комплексная пищевая добавка (соль, порошок молочной сыворотки, усилители вкуса и аромата (глутамат натрия 1-замещенный, 5’-инозинат натрия 2-замещенный, 5’-гуанилат натрия 2-замещенный), сырный порошок, луковый порошок, петрушка, вкусоароматические вещества (содержат базилик, казеинат натрия), чесночный порошок, специи, красители (экстракт паприки, каротины, аннато)),  эмульгатор (лецитины). 
Содержит сою. Продукт может содержать незначительное количество ракообразных, порошка рыбы, горчицы",1
Батончик Ulker Dido вафельный покрытый молочным шоколадом 35г,4264264,шт,1.0,4.92,6780,43.99,35 г,35.0,7.7,29.0,59.0,530.0,"сахар, сухое цельное молоко, какао-масса, масло какао, пшеничная мука, растительные масла (пальмовое, полностью гидрогенезированное пальмовое), пюре из лесного ореха, крахмал, эмульгаторы (фосфатиды аммония, эфиры полиглицерина и взаимоэтерифицированных рициноловых кислот, соевый лецитин), какао-порошок с пониженным содержанием жира, соль, ароматизаторы, яичный порошок. Содержит пшеничную клейковину (глютен), молочные, яичные, соевые продукты и лесной орех. Может содержать следы арахиса и других орехов",2
Торт вафельный Шоколадница с арахисом 400г,4243234,шт,1.0,4.88,1566,,400 г,400.0,10.0,32.0,50.0,590.0,"мука пшеничная общего назначения М55-23, глазурь кондитерская (сахар белый, заменитель масла какао (рафинированные дезодорированные растительные масла в натуральном и модифицированном виде (подсолнечное, пальмовое, соевое), эмульгаторы: сорбитан тристеарат, соевый лецитин, антиокислитель концентрат смеси токоферолов), какао-порошок, эмульгатор соевый лецитин, ароматизатор «Ванилин»), ядра арахиса жареные, сахар белый, жир кондитерский (рафинированное дезодорированное пальмовое масло в натуральном и модифицированном виде, эмульгатор соевый лецитин, антиокислители: аскорбиновая кислота, альфа-токоферол), сыворотка молочная сухая, какао-порошок, соль, эмульгатор соевый лецитин, разрыхлитель – гидрокарбонат натрия (сода пищевая), ароматизатор. Продукт может содержать следы миндаля, фундука, яичных продуктов",2
Прошутто Cortador Котто из свинины копчено-вареный 170г,4337171,шт,1.0,4.91,2169,285.99,170 г,170.0,12.0,20.0,0.0,228.0,"свинина, вода, молочный белок, стабилизатор Е450, пряности, декстроза, усилитель вкуса и аромата Е621, антиокислитель Е316, регуляторы кислотности Е451, Е262, Е331, посолочная смесь (соль пищевая, фиксатор окраски - нитрит натрия), крахмал картофельный, чеснок, лавровый лист, перец черный",4
Пломбир Золотой стандарт с суфле и шоколадным наполнителем 12% БЗМЖ 475г,3496575,шт,1.0,4.9,2862,489.99,475 г,475.0,3.7,11.4,28.4,230.0,"молоко цельное, масло сливочное (B) или молочный жир (F), шоколадный наполнитель (сахар, вода, какао-порошок, заменитель молочного жира, молоко сухое обезжиренное, загуститель пектин, натуральный ароматизатор шоколада), сахар, сироп глюкозы, вода, молоко сухое обезжиренное, суфле (сироп глюкозы, сахар, вода, пищевой желатин, кукурузный крахмал, натуральный ароматизатор ванили), крахмал картофельный, сыворотка сухая подсырная, эмульгатор (моно- и диглицерды жирных кислот), натуральный ароматизатор сливок",3
Крупа Увелка гречневая ядрица 450г,3991887,шт,1.0,4.84,487,,450 г,450.0,12.6,2.6,68.0,329.0,крупа гречневая ядрица (непропаренная) первый сорт,8
Ряженка Домик в деревне из топленого молока 2.5% БЗМЖ 260г,4208223,шт,1.0,4.92,4528,40.99,260 г,260.0,2.9,2.5,4.2,51.0,"Молоко нормализованное топленое, закваска.",6
Сыр Laime Пармезан 40% БЗМЖ,4330503,кг,0.2,4.88,2836,,Цена за 100 г,200.0,33.0,25.0,0.0,357.0,"молоко нормализованное, соль, закваска мезофильных и термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения.
Возможны незначительные проявления соли на поверхности продукта вследствие естественного созревания сыра",7
Вафли Зерница с ароматом лесного ореха 200г,3939083,шт,1.0,4.88,2719,,200 г,200.0,3.5,35.0,55.0,550.0,"вода питьевая, сахар, жир кондитерский (рафинированное дезодорированное растительное масло в натуральном и модифицированном виде (пальмовое),эмульгатор лецитин соевый (Е322), антиокислитель концентрат смеси токоферолов), мука пшеничная общего назначения, какао-порошок, масло подсолнечное рафинированное дезодорированное, соль пищевая, эмульгатор лецитин соевый (Е322), разрыхлитель гидрокарбонат натрия, ароматизаторы (ванилин, лесной орех).",1
Творог Му-у 9% БЗМЖ 180г,3677047,шт,1.0,4.88,4207,89.99,180 г,180.0,16.0,9.0,3.0,157.0,"молоко нормализованное, закваска",7
Беляши Омские жареные замороженные Дарина 400г,4336477,шт,1.0,4.77,645,329.99,400 г,400.0,10.0,8.0,24.0,210.0,"мука пшеничная высший сорт, говядина, вода питьевая, свинина, лук репчатый, соль пищевая, дрожжи прессованные, сахар, перец черный молотый.

Продукция производится на предприятии, где используются соя и яйца",3
Шоколад молочный Алёнка 15г,3601839,шт,1.0,4.94,12243,24.99,15 г,15.0,7.0,34.0,53.0,550.0,"сахар, сухое цельное молоко, масло какао, какао тертое, эмульгатор лецитин соевый , ароматизатор ""Ваниль"". Противопоказано при индивидуальной непереносимости белка молока. Возможно наличие незначительных количеств миндаля, фундука. Массовые доли общего сухого остатка какао не менее 29,8%, сухого обезжиренного какао не менее 5,7%, сухого обезжиренного остатка молока не менее 16,3%, молочного жира не менее 5,5%",3
Сельдь Вкусное море Салатная слабосоленая филе-кусочки в масле 300г,4379296,шт,1.0,4.9,387,,300 г,300.0,19.0,45.0,0.0,460.0,"Сельдь тихоокеанская (Clupea pallasii), масло подсолнечное рафинированное дезодорированное, соль, консерванты (бензоат натрия, сорбат калия, сорбиновая кислота), регуляторы кислотности (Е260, Е330, Е331iii, Е450i, Е451i, Е575, Е327, Е296), усилитель вкуса и аромата Е621, антиокислитель аскорбиновая кислота, декстроза. 
Может содержать следы ракообразных, моллюсков, горчицы, молока (в том числе лактозы), яйца и продукты их переработки.",6
Пицца Zotman Ice Маргарита 390г,4216525,шт,1.0,4.8,326,614.99,390 г,390.0,10.0,6.0,22.0,179.0,"основа для пиццы отпеченная (мука пшеничная хлебопекарная высшего сорта, вода питьевая,  мука пшеничная ферментированная, мука соевая,крупа манная, соль поваренная пищевая, сахар, дрожжи сухие), сыр мягкий Моцарелла ностра тертый м.д.ж. в сух. вещ-ве 40% (молоко нормализованное пастеризованное, соль поваренная пищевая, закваска термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения, регулятор кислотности – лимонная кислота),  соус томатный (томаты очищенные, сахар, оливковое масло, соль поваренная пищевая, перец черный),  сыр твердый с м.д.ж. в сухом веществе 40% (молоко нормализованное пастеризованное, закваска культур молочнокислых микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения, соль поваренная пищевая, уплотнитель – хлорид кальция)",4
Йогурт Простоквашино Греческий 2% 235г,4326198,шт,1.0,4.94,10659,81.99,235 г,235.0,8.7,2.0,2.5,63.0,"нормализованное молоко, нормализованные сливки, закваска",3
Сырок творожный А. Ростагрокомплекс в темном шоколаде с ванилью 26% 50г,4227647,шт,1.0,4.92,4925,74.99,50 г,50.0,8.5,29.0,29.0,410.0,"творог, сахар, шоколад темный (какао тертое, сахар, какао-масло, эмульгатор – лецитины (соевый лецитин), ароматизатор натуральный: ваниль),  сливочное масло, экстракт ванили",2
Соус Astoria Грибной на основе растительных масел 20% 233г,4288316,шт,1.0,4.85,4149,,233 г,233.0,0.5,20.0,8.5,220.0,"вода, масло подсолнечное рафинированное дезодорированное, загустители (Е1422, ксантановая камедь), сахар, ароматизаторы (cодержат усилитель вкуса и аромата Е621), шампиньоны сушеные, cоль, яичный желток сухой, регулятор кислотности уксусная кислота, лук сушеный, сметана, консервант сорбиновая кислота, антиокислитель Е385. Продукт содержит лактозу, может содержать следы сельдерея, горчицы и продуктов их переработки",2
Конфеты Победа Вкуса Птица счастья с начинкой из тертого миндаля в сливочном шоколаде 200г,3624159,шт,1.0,4.95,215,,200 г,200.0,6.5,32.0,54.0,530.0,"шоколад молочный сливочный (сахар, тертое какао, масло какао, сухое обезжиренное молоко, сухое цельное молоко, молочный жир, лактоза, какао порошок, эмульгатор (лецитин соевый), соль, ароматизатор (ванилин)), жир растительный, сахар, сыворотка молочная сухая, мука пшеничная хлебопекарная, паста из ядер миндаля, масло растительное, эмульгатор (лецитин соевый), крахмал пшеничный, концентрат цикория, соль, концентрат ячменного солода, ароматизатор (ванилин), разрыхлитель (сода пищевая). Не содержит ГМО. Может содержать следы других орехов, арахиса",2
Икра Global Village из кабачков 350г,4361033,шт,1.0,4.84,2799,,350 г,350.0,0.0,7.0,7.0,90.0,"Кабачки, масло подсолнечное рафинированное дезодорированное, морковь, томатная паста, лук репчатый, сахар, соль, перец черный молотый, перец душистый молотый.",5
Набор кондитерских изделий Рот Фронт Фонарик новогодний 250г,3646993,шт,1.0,4.79,100,,250 г,250.0,6.0,25.0,62.0,500.0,"Сахар, кондитерская глазурь (сахар, заменитель масла какао нетемперируемый смешанного типа (рафинированные дезодорированные растительные масла B модифицированном виде (пальмоядровое, пальмовое), эмульгаторы: E492, лецитин соевый; антиокислитель E306), какао порошок, эмульгаторы: лецитин соевый, E476; ароматизатор «Ванильный»), шоколадная глазурь (сахар, какао тёртое, эквивалент масла какао (растительные масла), какао-порошок, эмульгаторы: лецитин соевый, E476, ароматизатор «Ванильный»), мука пшеничная, вафли листовые (вода питьевая, мука пшеничная, меланж сухой яичный, эмульгатор лецитин соевый, соль, разрыхлитель E500, масло подсолнечное рафинированное дезодорированное), патока, жир кондитерский (растительные масла, эмульгатор лецитин соевый, антиокислитель E306), арахис дробленый, арахис тертый, жир кондитерский (растительное масло, эмульгатор лецитин соевый, антиокислители: аскорбиновая кислота, E307), вафли листовые (вода питьевая, мука пшеничная, масло подсолнечное высокоолеиновое (рафинированное дезодорированное), меланж сухой яичный, эмульгатор лецитин соевый, соль пищевая (содержит агент антислеживающий E536), разрыхлитель E500, регулятор кислотности лимонная кислота), шоколадная глазурь (сахар, какао тёртое, эквивалент масла какао (растительные масла), сухое цельное молоко, какао-порошок, эмульгаторы: лецитин соевый, E476; ароматизатор «Ваниль»), вода питьевая, сухое цельное молоко, продукт на молочной основе сгущенный с сахаром (молоко обезжиренное, сыворотка молочная восстановленная, сахар (сахароза), заменитель молочного жира (растительные масла, в том числе соевое, эмульгатор E471, антиокислитель E306), молочный сахар (лактоза)), масло пальмовое рафинированное дезодорированное, масло какао, ядро ореха фундука дробленое, сухая молочная сыворотка, кондитерская глазурь (сахар, заменитель масла какао нетемперируемый нелауринового типа (рафинированный гидрогенизированный пальмовый олеин, эмульгаторы: лецитин подсолнечный, E492), какао-порошок, эмульгаторы: лецитин соевый, E476; ароматизатор «Ваниль»), какао тертое, какао-порошок, масло кокосовое рафинированное дезодорированное, пюре яблочное (яблоки, консервант диоксид серы), мука соевая дезодорированная, заменитель молочного жира (растительные масла, антиокислители: E304, E307, лецитин соевый), крахмал кукурузный, молочная кондитерская глазурь (сахар, заменитель масла какао нетемперируемый нелауринового типа (гидрогенизированная фракция пальмового масла, эмульгаторы: лецитин соевый E322, E492; антиокислитель E306), какао-порошок, сухое цельное молоко, масло какао, сухая молочная сыворотка. эмульгаторы: лецитин соевый E322, E476; ароматизатор «Ванилин»), мед, эмульгаторы: лецитин соевый, E476; агент влагоудерживающий сорбитовый сироп, разрыхлители: E500, E503; сухое обезжиренное молоко, соль, ароматизаторы: «Варёная сгущенка», «Молоко», «Грецкий орех», «Тирамису», «Крем-брюле», «Кофе», «Ванильно-сливочный», «Молоко топленое», «Ваниль», «Ванильный»; агент желирующий пектин, комплексная пищевая добавка (красители: куркумин, сахарный колер III), комплексная пищевая добавка (антиокислители: аскорбиновая кислота, E307), регуляторы кислотности: лимонная кислота, E331; стабилизатор каррагинан, растительный экстракт «Экстракт розмарина» (триглицериды жирных кислот, экстракт розмарина растительного происхождения, эмульгаторы: E433, E432).

Противопоказано при индивидуальной непереносимости белка молока и/или яичного белка. 
Возможно наличие незначительных количеств семян кунжута, орехов (миндаля, кешью, грецкого ореха).",1
Суп Knorr Чашка супа сырный с сухариками 15.6г,3190234,шт,1.0,4.9,5633,29.99,16 г,16.0,8.0,17.0,55.0,405.0,"картофельный крахмал, кукурузный мальтодекстрин, сухарики (пшеничная мука, растительное масло, соль, дрожжи, антиокислитель экстракт розмарина), пшеничная мука, соль, растительный жир, сыр, усилители вкуса и аромата (глутамат натрия, инозинат натрия, гуанилат натрия), овощи и травы (репчатый лук', зеленый лук', паприка', чеснок'), специи (куркума, белый перец, любисток), лактоза, дрожжевой экстракт, сахар, подсолнечное масло, ароматизаторы, молочный белок, соки концентрированные сухие (морковный, луковый, яблочный), регулятор кислотности лимонная кислота, загуститель ксантановая камедь. Продукт может содержать незначительные количества сельдерея, горчицы, яичных, соевых продуктов. Натуральные овощи и травы отмечены «'» в составе",3
Колбаса Ближние Горки Яичная ливерная 300г,3650519,шт,1.0,4.88,4870,,300 г,300.0,11.0,34.0,4.0,366.0,"шековина свиная, печень свиная, свинина, молоко коровье сухое цельное, крахмал картофельный, меланж яичный, соль, лук свежий репчатый, сахар-песок, перец белый, орех мускатный, регулятор кислотности — ацетат натрия, цитрат натрия, антиокислитель — аскорбат натрия, аскорбиновая кислота. На производстве используются горчица, злаки, соевый белок, орехи и продукты переработки",3
Кофе растворимый Monarch Miligrano натуральный сублимированный c добавлением натурального жареного молотого 90г,4307708,шт,1.0,4.91,4225,329.99,90 г,90.0,14.5,2.3,9.2,116.0,"кофе натуральный растворимый сублимированный, кофе натуральный жареный молотый",2
Мармелад Шарлиз желейный со вкусом абрикоса 300г,3139443,шт,1.0,4.9,4517,109.99,300 г,300.0,0.0,0.0,83.0,330.0,"Сахар, вода, патока, желирующий агент: пектин, регуляторы кислотности: кислота лимонная, кислота молочная, цитрат натрия, ароматизатор ""Абрикос"", краситель: кармины.",2
Биойогурт Верховье со злаками 2% 260г,4179231,шт,1.0,4.93,4918,64.99,260 г,260.0,2.6,2.0,9.8,67.6,"молоко нормализованное, наполнитель (сахар, вода, отруби ржаные, отруби овсяные, хлопья зародышевые пшеничные, яблочный сок восстановленный, крахмал кукурузный, концентрированный лимонный сок, натуральный ароматизатор печенье), закваска молочнокислых микроорганизмов, закваска пробиотическая Howaru® Dophilus",3
Жевательная резинка Mentos Pure Fresh Свежая мята 100г,2167263,шт,1.0,4.94,2862,,100 г,100.0,0.3,0.1,67.0,170.0,"подсластители (Е967, Е420, Е421, Е965, Е950, Е951, Е955), основа резиновая, агент влагоудерживающий (Е422), ароматизаторы, мальтодекстрин, крахмал (рисовый, кукурузный), экстракт зеленого чая (0, 1%), эмульгатор (Е473), загустители (Е466, Е415), растительное масло, глазирователь (Е903), краситель (Е133), антиокислитель (Е321). Содержит источник фенилаланина",1
Печенье Красная цена Чайное сахарное 300г,3651811,шт,1.0,4.88,5807,54.99,300 г,300.0,7.5,15.0,72.0,450.0,"мука пшеничная хледорпекарная высшего сорта, сахар. жир специального назначения (масла растительные рафинированные дезодорированные гидрогенезированные (подсолнечное, пальмовое), эмульгатор Е471, комплексная пищевая добавка (антиокислители: Е320, Е321. Е310; регулятор кислотности: кислота лимонная)), патока, вода питьевая, крахмал кукурузный, продукты яичные, соль пищевая, разрыхлители (гидрокарбонат натрия, арбонат аммония), ароматизатор натуральный ""Ваниль"". Продукт может содержаь следы семян кунжута, арахиса. молоко и продукты его переработки (в том числе лактоза).",3
"Конфеты Даежъ Wafer Bar с карамелью, арахисом и солеными кранчами 54г",4349267,шт,1.0,4.92,7557,29.99,54 г,54.0,7.3,26.4,53.6,481.0,"сахар, мука пшеничная, патока крахмальная, растительные масла (пальмовое, подсолнечное, соевое), эквивалент масла какао (растительные масла (пальмовое, ши), эмульгатор лецитины, антиокислитель: токоферолы, концентрат смеси), арахис обжаренный дробленый, сыворотка молочная сухая, молоко сухое обезжиренное, какао тертое, арахис обжаренный тертый, продукт экструдированных круп и зернового сырья «ПЭК» «Кранчи» (мука пшеничная, сахар, соль, крупа овсяная, разрыхлитель гидрокарбонат натрия, солод пшеничный, ароматизатор), какао-порошок алкализованный, соль, агент влагоудерживающий глицерин, эмульгаторы (лецитины, Е476), ароматизаторы, разрыхлитель гидрокарбонат натрия, регулятор кислотности молочная кислота, антиокислители (аскорбилпальмитат; токоферолы, концентрат смеси). 
Может содержать незначительное количество продуктов переработки орехов. Противопоказано при индивидуальной непереносимости к белку молока.",2
Конфеты Konti Cицилийский апельсин,4250557,кг,0.2,4.94,8609,54.99,Цена за 100 г,200.0,1.0,8.0,72.0,370.0,"патока, сахар, шоколадная глазурь (сахар, какао тертое, эквивалент масла какао (фракция пальмового масла, стеарин масла ши, эмульгатор лецитины соевый и из подсолнечника, антиокислитель токоферолы, регулятор кислотности кислота лимонная), какао-порошок, эмульгаторы: лецитин соевый, эфиры полиглицерина и взаимоэтерифицированных рициноловых кислот; ароматизатор), агент желирующий пектины, регуляторы кислотности (кислота лимонная, кислота молочная, цитрат натрия), ароматизатор, краситель экстракт паприки, нектар из красных сицилийских апельсинов, апельсинов и моркови. Может содержать молоко и продукты его переработки, диоксид серы",2
Чипсы картофельные соломкой Pomsticks со вкусом сметаны и специй 100г,2167938,шт,1.0,4.92,7177,98.99,100 г,100.0,5.7,29.0,53.0,504.0,"картофель, масло подсолнечное, ароматизатор (сыворотка молочная сухая сладкая, соль, порошок луковый, сахар, мальтодекстрин кукурузный, мальтодекстрин картофельный, петрушка, перец черный, регулятор кислотности: орто-фосфат калия 2-замещенный, краситель: каротины)",1
Макароны Ладные перья группа А 400г,3219390,шт,1.0,4.9,8730,,400 г,400.0,10.5,1.1,71.5,340.0,"Мука из твердых сортов пшеницы (дурум), вода.",8
Молоко Искренне Ваш пастеризованное 2.5% БЗМЖ 930г,4015777,шт,1.0,4.93,8637,79.99,930 мл,930.0,3.0,2.5,4.7,53.0,"молоко цельное, молоко обезжиренное",6
Сок Красная цена Томатный 950мл,3623972,шт,1.0,4.89,11438,50.99,950 г,950.0,0.0,0.0,5.0,20.0,"Томатное пюре (паста), соль.",2
Кетчуп Astoria Томатный 330г,3642910,шт,1.0,4.9,4736,,330 г,330.0,1.0,0.0,25.0,110.0,"вода, томатная паста, сахар, загустители (E1442, ксантановая камедь), соль, регулятор кислотности - уксусная кислота, перец кайенский, чеснок сушеный, ароматизаторы натуральные (содержат сельдерей)",3
Приправа Kotanyi 4 перца 20г,3386024,шт,1.0,4.94,4638,,20 г,20.0,11.0,1.8,56.0,318.0,"перец (черный, белый, зеленый, розовый). Может содержать следы глютеносодержащих злаков, яиц, сои, сельдерея, кунжута, орехов, горчицы, молока (лактоза)",1
Чай черный Ahmad Tea Earl Grey 25х2г,5051,шт,1.0,4.94,4801,,25 шт,-1.0,0.0,0.0,0.0,0.0,"чай черный байховый мелкий, пищевой ароматизатор бергамот",2
Вафельные рулеты Услада Кот Федот со вкусом и ароматом сгущенного молока 400г,4120696,шт,1.0,4.91,5636,176.99,400 г,400.0,6.0,17.0,72.0,476.0,"мука пшеничная высшего сорта, сахар, заменитель масла какао нелауринового типа (рафинированные дезодорированные растительные масла в модифицированном виде (подсолнечное масло, фракции пальмового масла),эмульгатор лецитин соевый)), эмульгатор лецитин соевый, патока крахмальная ,соль, разрыхлитель гидрокарбонат натрия, ароматизатор",2
Суп-пюре Yelli из гороха с карри 250г,3447289,шт,1.0,4.89,782,,250 г,250.0,22.0,1.5,61.0,350.0,"горох колотый, овощи сушеные (лук репчатый, паприка, томаты, чеснок), специи молотые (смесь пряностей ""Карри"", перец чили). Может содержать следы глютена, сельдерея, сои, горчицы, арахиса, кунжута, орехов",8
Колбаса Cortador Мортаделла вареная 170г,4368398,шт,1.0,4.85,532,289.99,170 г,170.0,10.0,28.0,0.0,292.0,"свинина, вода, шпик, нитритно-посолочная смесь (соль, фиксатор окраски нитрит натрия), фисташки очищенные, пшеничная клетчатка, экстракты пряностей (мускатный орех, кориандр, перец черный), чеснок сушеный, перец черный горошек, декстроза, регуляторы кислотности (ацетат натрия, цитрат натрия), агент влагоудерживающий Е325, антиокислители (Е301, Е316), краситель (кармин).
продукт производится на предприятии, где используется горчица, молоко (лактоза), соя, яйца.",4
Вода Шишкин лес питьевая негазированная 1.75л,3264150,шт,1.0,4.94,7523,69.99,1.75 л,1750.0,0.0,0.0,0.0,0.0,"содержание анионов и катионов, мг/л. не более: Натрий-200, кальций-20, магний - 5, сульфаты-100, F-1.5, гидрокарбонаты",3
Сыр Радость вкуса Топленочка с фенугреком 45% БЗМЖ 180г,4307613,шт,1.0,4.85,1524,,180 г,180.0,25.8,25.2,0.0,330.0,"молоко нормализованное, соль пищевая, семена фенугрека, ароматизатор, консервант нитрат натрия, молокосвертывающий ферментный препарат микробного происхождения, краситель пищевой аннато, смешанные закваски мезофильных и термофильных молочнокислых микроорганизмов. Сырная корка обработана консервантом Е235.",7
Трубочка Шарлиз Абрикосик фруктовая 500г,4103485,шт,1.0,4.89,2830,,500 г,500.0,4.0,25.0,55.0,460.0,"Начинка фруктовая (яблочное пюре, сахар, вода, патока, пюре абрикосовое, абрикос сушеный, антиокислитель диоксид серы, ароматизатор, регуляторы кислотности лимонная кислота и цитрат натрия, красители Е110 и Е160а, влагоудерживающие агенты сорбит и глицерин, загуститель пектин, консервант сорбат калия), мука пшеничная хлебопекарная высший сорт, маргарин (рафинированные дезодорированные растительные масла, вода, эмульгаторы: моно- и диглицериды жирных кислот, эфиры полиглицеридов и жирных кислот, лецитин; соль, консерванты сорбиновая кислота и бензоат натрия, краситель каротин, ароматизатор, регулятор кислотности лимонная кислота), сахар, вода, соль пищевая, регулятор кислотности лимонная кислота. 

Содержит продукт переработки сои. Может содержать следы молочных продуктов, яйца, арахиса, орехов, кунжута. Содержит краситель, который может оказывать отрицательное влияние на активность и внимание детей.",1
Напиток кисломолочный Имунеле Малина-Морошка 1.2% БЗМЖ 100г,3501804,шт,1.0,4.93,4358,34.99,100 мл,100.0,2.7,1.2,11.4,67.0,"А – молоко нормализованное, вода, сахар, глюкозно-фруктозный сироп, концентрированный яблочный сок , концентрированный малиновый сок,    ароматизаторы, стабилизатор – пектины,  витаминный премикс (витамины: А, D3, Е, В6, фолиевая кислота, В12), краситель – каротины, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), закваска, пробиотические микроорганизмы (Lactobacillus Casei, Lactobacillus Rhamnosus); В – молоко нормализованное, сахар, вода, концентрированный яблочный сок , концентрированный малиновый сок,    ароматизаторы, стабилизатор – пектины, витаминный премикс (витамины: А, D3, Е, В6, фолиевая кислота, В12), краситель – каротины, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), закваска, пробиотические микроорганизмы (Lactobacillus Casei, Lactobacillus Rhamnosus)",6
Пломбир Филевское Пралине с грецким орехом и мягкой карамелью 12% БЗМЖ 550г,3956289,шт,1.0,4.92,3855,,550 г,550.0,3.5,15.0,26.0,250.0,"молоко коровье цельное, мягкая карамель (патока, вода, сахар, молоко цельное сгущённое с сахаром (цельное молоко, обезжиренное молоко, сахар (сахароза, лактоза) ), масло растительное, загуститель- пектин, соль пищевая, ароматизатор пищевой «Тоффи», эмульгатор лецитин соевый), масло сливочное, молоко цельное сгущенное с сахаром (молоко цельное, молоко обезжиренное, сахар (сахароза) ), грецкий орех, вода питьевая, сахар, молоко цельное сухое, сухой глюкозный сироп, комплексная пищевая добавка «Карамель» (сахарный сироп, глюкозный сироп, вода, кленовый сироп, карамелизированный сахарный сироп, натуральный ароматизатор карамель, экстракт ванили), комплексная пищевая добавка (эмульгатор — моно- и диглицериды жирных кислот, стабилизаторы: гуаровая камедь, камедь рожкового дерева, тары камедь, каррагинан). Массовая доля жира — 15%",3
