Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Score
Азу из курицы с картофельным пюре замороженное СытоЕдов 300г,4306830,шт,1.0,4.81,803,,300 г,300.0,5.0,5.0,8.5,100.0,7.33
Лепешка замороженная ROTI 450г,4147575,шт,1.0,4.88,389,219.99,450 г,450.0,6.1,15.0,37.8,311.0,7.67
Паэлья Испанское блюдо 4 Сезона 600г,728,шт,1.0,4.86,1061,692.99,600 мл,600.0,8.0,3.0,17.0,130.0,5.33
Жюльен из курицы с грибами замороженный Российская Корона 250г,3621247,шт,1.0,4.66,611,,250 г,250.0,14.8,11.1,4.1,175.5,6.0
Котлеты куриные запеченные замороженные Главобед 340г,4337207,шт,1.0,4.77,323,299.99,340 г,340.0,13.7,7.2,12.5,170.0,7.67
Беляши Омские жареные замороженные Дарина 400г,4336477,шт,1.0,4.77,632,329.99,400 г,400.0,10.0,8.0,24.0,210.0,5.0
Лапша гречневая Тори Ясай Соба с цыпленком и овощами Perfetto 250г,4071297,шт,1.0,4.73,445,,250 г,250.0,8.2,6.9,16.1,159.3,7.0
Мини-чебуреки Чебурито с мясом Твистер 300г,4078158,шт,1.0,4.58,1586,,300 г,300.0,11.0,10.2,30.6,258.0,5.67
Блюдо готовое Фондю Эменталь замороженное 4 сезона 600г,3054891,шт,1.0,4.82,337,588.99,600 г,600.0,7.9,10.2,13.3,175.0,7.67
Каша рисовая с яблочно-апельсиновым соусом замороженная Фросток 320г,4340916,шт,1.0,4.64,28,149.99,320 г,320.0,1.5,2.5,11.0,70.0,7.0
Булочки Bibigo Бао со свининой замороженные 320г,4372071,шт,1.0,4.66,30,399.99,320 г,320.0,7.3,11.9,33.5,270.8,5.0
Спагетти Карбонара замороженные Фросток 210г,4340915,шт,1.0,4.71,107,299.99,210 г,210.0,9.5,9.5,21.0,200.0,6.67
Тесто для чебуреков 500г,3608912,шт,1.0,4.94,7861,99.99,500 г,500.0,9.0,1.0,52.0,250.0,8.0
Булочка с корицей замороженная п/ф 90г,4200588,шт,1.0,4.74,202,39.99,90 г,90.0,5.5,27.0,45.0,450.0,6.0
Тесто для пельменей охлажденное Тестов 360г,3443131,шт,1.0,4.91,3696,89.99,360 г,360.0,9.0,1.0,52.0,250.0,8.0
Багет Традиционный замороженный п/ф 260г,4112024,шт,1.0,4.49,68,39.99,260 г,260.0,8.5,1.0,60.0,280.0,4.67
Багет Ржаной чесночный замороженный п/ф 200г,4117904,шт,1.0,4.56,74,64.99,200 г,200.0,6.5,14.0,45.1,332.0,8.0
Улитка Греческая с курицей и картофелем замороженная п/ф 180г,3368459,шт,1.0,4.6,62,59.99,180 г,180.0,9.0,7.0,33.0,230.0,6.67
Улитка Греческая со шпинатом и сыром замороженная п/ф 180г,3368457,шт,1.0,4.66,47,59.99,180 г,180.0,8.0,9.0,34.0,250.0,7.0
Слойка Valentain дрожжевая с вишней п/ф 90г,3612462,шт,1.0,4.82,63,29.99,90 г,90.0,4.5,12.0,46.0,310.0,7.0
Улитка с ванильной начинкой и изюмом п/ф 100г,4233266,шт,1.0,4.67,45,45.99,100 г,100.0,4.0,18.0,37.0,320.0,6.0
Багет чесночный замороженный п/ф 175г,4117906,шт,1.0,4.82,64,64.99,175 г,175.0,6.7,11.0,45.0,305.8,7.0
Улитка Греческая с мясом замороженная п/ф 180г,3368456,шт,1.0,4.63,60,59.99,180 г,180.0,8.0,18.5,36.0,345.0,5.67
Слойка DeLavant с малиной п/ф 85г,4237846,шт,1.0,4.92,40,29.99,85 г,85.0,4.0,15.0,42.0,330.0,6.0
Розан со смородиной замороженный п/ф 130г,3658222,шт,1.0,4.86,32,39.99,130 г,130.0,3.3,12.5,40.8,289.0,4.0
Хлебушек заварной бездрожжевой замороженный п/ф 350г,3608756,шт,1.0,4.21,21,65.99,350 г,350.0,5.9,0.9,47.9,230.0,7.33
Чиабатта Рустик замороженная п/ф 300г,3645121,шт,1.0,4.85,39,59.99,300 г,300.0,7.82,0.83,42.17,207.0,5.0
Круассан Мириталь с миндалем п/ф 70г,4198978,шт,1.0,4.73,34,79.99,70 г,70.0,9.5,26.6,43.7,452.2,7.0
Пирожок с зеленым луком и яйцом п/ф 65г,4342779,шт,1.0,4.36,33,35.99,65 г,65.0,7.0,5.0,28.0,180.0,7.0
Пирог домашний с творожной начинкой п/ф 100г,4278636,шт,1.0,4.9,31,39.99,100 г,100.0,7.0,10.0,48.0,310.0,7.0
Слойка с сосиской замороженная п/ф 90г,3474487,шт,1.0,4.88,24,45.99,90 г,90.0,7.0,19.0,36.0,340.0,4.0
Слойка с ветчиной и сыром п/ф 90г,4262738,шт,1.0,4.6,21,39.99,90 г,90.0,9.0,21.5,30.0,350.0,4.0
Самса с курицей и овощами замороженная п/ф 122г,4220033,шт,1.0,4.52,28,45.99,122 г,122.0,6.4,9.7,31.2,237.7,6.67
Элеш с курицей замороженный п/ф 230г,3635486,шт,1.0,4.63,20,79.99,230 г,230.0,7.0,11.0,26.0,230.0,5.33
Хлеб с семечками замороженный п/ф 400г,3682002,шт,1.0,4.67,12,69.99,400 г,400.0,11.0,8.0,46.0,300.0,7.67
